"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)"
"_MainALHueShiftCTIndex","Motion Type","Tipo de movimiento","Bewegungstyp","モーションタイプ","모션 타입","运动类型"
"_MainHueALMotionSpeed","Motion Speed","Velocidad de movimiento","Bewegungsgeschwindigkeit","モーションスピード","모션 속도","运动速度"
"m_start_MainHueShiftGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_MainHueGlobalMask","Hue","Tono","Farbton","ぼかし","색조","色相"
"_MainHueGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_MainSaturationGlobalMask","Saturation","Saturación","Sättigung","色調","채도","饱和度"
"_MainSaturationGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_MainBrightnessGlobalMask","Brightness","Brillo","Helligkeit","明るさ","밝기","亮度"
"_MainBrightnessGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_AlphaForceOpaque","Force Opaque","Forzar opacidad","Undurchsichtig erzwingen","不透明を強制","불투명 강제","强制不透明"
"_AlphaMod","Alpha Mod","Modo alfa","Alpha-Mod","透明度","알파 모드","Alpha 模式"
"_AlphaPremultiply","Alpha Premultiply","Alfa premultiplicativo","Alpha-Vormultiplikation","アルファ事前乗算","알파 미리 곱하기","Alpha 预乘"
"_AlphaBoostFA","Boost Transparency in ForwardAdd","Aumentar transparencia en pasada de adición directa (ForwardAdd)","Erhöhen Sie die Transparenz in ForwardAdd","ForwardAdd で透明性を高める","ForwardAdd에서 투명도 높이기","在 ForwardAdd 中增强透明度"
"_AlphaToCoverage","A2CToggle","<size=13><b>Transparencia por cobertura (A2C) </b></size>","<size=13><b> Alpha bis Abdeckung</b></size>","<size=13><b>アルファを範囲に使用する</b></size>","<size=13><b>알파 대 커버리지</b></size>","<size=13><b>Alpha To Coverage (A2C)</b></size>"
"_AlphaSharpenedA2C","Sharpened  A2C","Transparencia por cobertura nítida","A2C geschärft","鮮明なA2C","선명한 A2C","锐化 A2C"
"_AlphaMipScale","Mip Level Alpha Scale","Escala alfa por nivel de Mipmap","Mip-Level-Alpha-Skala","ミップ レベル アルファ スケール","맵 레벨 알파 스케일","Mip 层级 Alpha 缩放"
"_AlphaDithering","Dithering","<size=13><b>Tramado (Dithering) </b></size>","<size=13><b>Dithering</b></size>","<size=13><b>ディザリング</b></size>","<size=13><b>디더링</b></size>","<size=13><b>抖动 (Dithering)</b></size>"
"_AlphaDitherGradient","Dither Gradient","Gradiente de tramado","Dither-Gradient","ディザグラデーション","디더 그라데이션","抖动渐变"
"_AlphaDistanceFade","Distance Alpha","<size=13><b>Atenuación alfa por distancia </b></size>","<size=13><b> Abstand Alpha</b></size>","<size=13><b>距離アルファ</b></size>","<size=13><b>거리 알파</b></size>","<size=13><b>距离淡入淡出 (Alpha)</b></size>"
"_AlphaDistanceFadeType","Pos To Use","Posición a usar","Zu verwendende Position","使用する位置","사용할 위치","使用位置"
"_AlphaDistanceFadeMinAlpha","Min Distance Alpha","Alfa mínimo por distancia","Mindestabstand Alpha","最小距離アルファ","최소 거리 알파","最小距离 Alpha"
"_AlphaDistanceFadeMaxAlpha","Max Distance Alpha","Alfa máximo por distancia","Maximale Entfernung Alpha","最大距離アルファ","최대 거리 알파","最大距离 Alpha"
"_AlphaDistanceFadeMin","Min Distance","Distancia mínima","Mindestabstand","最小距離","최소 거리","最小距离"
"_AlphaDistanceFadeMax","Max Distance","Distancia máxima","Maximale Entfernung","最大距離","최대 거리","最大距离"
"_AlphaFresnel","Fresnel Alpha","<size=13><b>Alfa de Fresnel </b></size>","<size=13><b>Fresnel-Alpha</b></size>","<size=13><b> フレネル アルファ</b></size>","<size=13><b>프레넬 알파</b></size>","<size=13><b>菲涅尔 Alpha</b></size>"
"_AlphaFresnelAlpha","Intensity","Intensidad","Intensität","強さ","강도","强度"
"_AlphaFresnelSharpness","Sharpness","Nitidez","Schärfe","鮮明さ","선명도","锐度"
"_AlphaFresnelWidth","Width","Ancho","Breite","幅","너비","宽度"
"_AlphaFresnelInvert","Invert","Invertir","Umkehren","反転","반전","反转"
"_AlphaAngular","Angular Alpha","<size=13><b>Alfa angular </b></size>","<size=13><b>Angular Alpha</b></size>","<size=13><b>角度のあるアルファ</b></size>","<size=13><b>각도 알파</b></size>","<size=13><b>角度 Alpha</b></size>"
"_AngleType","Angle Type","Tipo de ángulo","Winkeltyp","アングルタイプ","각도 유형","角度类型"
"_AngleCompareTo","Model or Vert Positon","Comparar con modelo o posición de vértice","Modell oder vertikale Position","モデルまたは頂点位置","모델 또는 수직 위치","模型或顶点位置"
"_AngleForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","順方向","전방","前向方向"
"_CameraAngleMin","Camera Angle Min","Ángulo mínimo de cámara","Kamerawinkel min","カメラアングル最小","카메라 각도 최소","最小摄像机角度"
"_CameraAngleMax","Camera Angle Max","Ángulo máximo de cámara","Kamerawinkel max","カメラアングル最大","카메라 각도 최대","最大摄像机角度"
"_ModelAngleMin","Model Angle Min","Ángulo mínimo de modelo","Modell Winkel min","モデル角度最小","모델 각도 최소","最小模型角度"
"_ModelAngleMax","Model Angle Max","Ángulo máximo de modelo","Modell Winkel max","モデル角度最大","모델 각도 최대","最大模型角度"
"_AngleMinAlpha","Min Alpha","Alfa mínimo","Min-Alpha","最小アルファ","최소 알파","最小 Alpha"
"_AlphaAudioLinkEnabled","Alpha Audio Link","<size=13><b>Alfa del AudioLink </b></size>","<size=13><b> Alpha-Audio-Link</b></size>","<size=13><b>アルファ・オーディオリンク</b></size>","<size=13><b>알파 오디오 링크</b></size>","<size=13><b>Alpha AudioLink</b></size>"
"_AlphaAudioLinkAddBand","Add Band","Banda de suma","Band hinzufügen","バンドを追加","밴드 추가","添加频段"
"_AlphaAudioLinkAddRange","Add Range","Rango de suma","Bereich hinzufügen","範囲を追加","범위 추가","添加范围"
"m_start_AlphaGlobalMask","","Máscara global alfa","Globale Maske","グローバル マスク","글로벌 마스크","Alpha 全局遮罩"
"_AlphaGlobalMask","Global Mask","Alfa","Alpha","アルファ","알파","Alpha"
"_AlphaGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"m_start_DetailOptions","Detail Normals & Texture","Opciones del detalle","Einzelheiten","ディテール","디테일","细节选项"
"_DetailEnabled","Enable","Activar detalles","Aktivieren","有効","활성화","启用细节"
"_DetailMask","Detail Mask (Expand)","Máscara del detalle (Expandir)","Detailmaske (Erweitern)","ディテールマスク (拡張)","디테일 마스크 (확장)","细节遮罩 (展开)"
"_DetailMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DetailMaskUV","UV","UV","UV","UV","UV","UV"
"_DetailTint","Tint","Tinte del detalle","Detail-Textur-Tönung","ディテールテクスチャの色","디테일 텍스처 틴트","细节着色"
"_DetailMaskStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_DetailTex","Detail Texture","Textura del detalle","Detail-Textur","ディテールテクスチャ","디테일 텍스처","细节纹理"
"_DetailTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DetailTexUV","UV","UV","UV","UV","UV","UV"
"_DetailTexStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_DetailTexIntensity","Intensity","Intensidad de la textura del detalle","Detail Tex-Intensität","ディテールテクスチャの透明度の調整","디테일 텍스처 강도","细节纹理强度"
"_DetailBrightness","Brightness","Brillo del detalle:","Detailhelligkeit:","ディテール輝度:","디테일 밝기:","细节亮度:"
"_DetailNormalMap","Detail Normal","Mapa de normales del detalle","Details Normal","ディティールノーマル","디테일 노멀","细节法线"
"_DetailNormalMapScale","Intensity","Intensidad del mapa de normales del detalle","Detail Normale Intensität","ディテールノーマル(法線)の大きさ","디테일 노멀 강도","细节法线强度"
"_DetailNormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DetailNormalMapUV","UV","UV","UV","UV","UV","UV"
"_DetailNormalMapStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"m_start_vertexManipulation","Basics & Fun","Manipulación de vértices","Vertex-Optionen","頂点オプション","버텍스 옵션","顶点操作"
"_VertexManipulationsEnabled","Enabled","Activar manipulación de vértices","Ermöglicht","有効","활성화됨","启用顶点操作"
"_VertexManipulationLocalTranslation","Local Translation","Traslación local","Lokale Übersetzung","ローカルトランスレーション","로컬 변환","本地位移"
"_VertexManipulationLocalRotation","Rotation","Rotación local","Lokale Rotation","ローカルローテーション","로컬 회전","本地旋转"
"_VertexManipulationLocalRotationSpeed","Rotation Speed","Velocidad de rotación local","Lokale Rotationsgeschwindigkeit","ローカル回転速度","로컬 회전 속도","本地旋转速度"
"_VertexManipulationLocalScale","Scale","Escala local","Lokale Skala","ローカル スケール","로컬 스케일","本地缩放"
"_VertexManipulationWorldTranslation","World Translation","Traslación global","Weltübersetzung","ワールド基準でメッシュを移動","월드 변환","世界位移"
"_VertexManipulationHeight","Height","Altura de vértice","Scheitelhöhe","頂点の高さ","버텍스 높이","顶点高度"
"_VertexManipulationHeightMask","Height Map Texture","Mapa de altura","HöhenTextur","ハイトマップ","높이 맵","高度图"
"_VertexManipulationHeightMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_VertexManipulationHeightMaskUV","UV","UV","UV","UV","UV","UV"
"_VertexManipulationHeightMaskChannel","Mask Channel","Canal","Kanal","チャンネル","채널","通道"
"_VertexManipulationHeightBias","Map Bias","Máscara de sesgo","Maskenverzerrung","マスクの傾き","마스크 바이어스","遮罩偏移"
"_VertexRoundingEnabled","Rounding Enabled","Activar redondeo de vértices","Rundung aktiviert","丸める","라운딩 활성화","启用顶点圆角"
"_VertexRoundingSpace","Rounding Space","Espacio de redondeo","Rundungsraum","丸めるスペース","라운딩 공간","圆角空间"
"_VertexRoundingDivision","Rounding Interval","Intervalo de redondeo","Rundungsintervall","丸める間隔","라운딩 간격","圆角间隔"
"_VertexBarrelMode","<size=13><b>  Barrel Mode</b></size>","<size=13><b>Modo del barril </b></size>","<size=13><b>Fassmodus</b></size>","<size=13><b>バレルモード</b></size>","<size=13><b>배럴 모드</b></size>","<size=13><b>桶形失真模式</b></size>"
"_VertexBarrelWidth","Barrel Width","Ancho del barril","Fassbreite","バレル幅","배럴 너비","桶形宽度"
"_VertexBarrelAlpha","Barrel Alpha","Alfa del barril","Barrel Alpha","バレルアルファ","배럴 알파","桶形 Alpha"
"_VertexBarrelHeight","Barrel Height","Altura del barril","Laufhöhe","バレルの高さ","배럴 높이","桶形高度"
"_VertexAudioLinkEnabled","Audio Link","<size=13><b>AudioLink de los vértices </b></size>","<size=13><b>Audiolink</b></size>","<size=13><b>オーディオリンク</b></size>","<size=13><b>오디오링크</b></size>","<size=13><b>顶点 AudioLink</b></size>"
"_VertexLocalTranslationALBand","Band","Banda de traslación local","Lokale Übersetzungsband","ローカル変換バンド","로컬 변환 밴드","本地位移频段"
"_VertexLocalTranslationALMin","Translation Min","Traslación local mínima","Lokale Übersetzung Min","ローカル翻訳分","로컬 변환 최소","本地位移最小"
"_VertexLocalTranslationALMax","Translation Max","Traslación local máxima","Lokale Übersetzung max","ローカル変換最大","로컬 변환 최대","本地位移最大"
"_VertexLocalRotationALBandX","Band X","Banda de rotación X","Rotationsband X","回転バンド X","회전 밴드 X","旋转频段 X"
"_VertexLocalRotationALBandY","Band Y","Banda de rotación Y","Rotationsband Y","回転バンド Y","회전 밴드 Y","旋转频段 Y"
"_VertexLocalRotationALBandZ","Band Z","Banda de rotación Z","Rotationsband Z","回転バンド Z","회전 밴드 Z","旋转频段 Z"
"_VertexLocalRotationAL","Rotation","Rotación","Drehung","回転","회전","旋转"
"_VertexLocalRotationCTALBandX","Band X","Banda X","Band X","バンド X","밴드 X","频段 X"
"_VertexLocalRotationCTALTypeX","Motion Type X","Tipo de movimiento X","Bewegungstyp X","モーションタイプX","모션 타입 X","运动类型 X"
"_VertexLocalRotationCTALBandY","Band Y","Banda Y","Band Y","バンド Y","밴드 Y","频段 Y"
"_VertexLocalRotationCTALTypeY","Motion Type Y","Tipo de movimiento Y","Bewegungstyp Y","モーションタイプY","모션 타입 Y","运动类型 Y"
"_VertexLocalRotationCTALBandZ","Band Z","Banda Z","Band z","バンド Z","밴드 Z","频段 Z"
"_VertexLocalRotationCTALTypeZ","Motion Type Z","Tipo de movimiento Z","Bewegungstyp Z","モーションタイプZ","모션 타입 Z","运动类型 Z"
"_VertexLocalRotationCTALSpeed","Speed","Velocidad de rotación","Drehgeschwindigkeit","回転速度","회전 속도","旋转速度"
"_VertexLocalScaleALBand","Band","Banda de escala","Skalenband","スケールバンド","스케일 밴드","缩放频段"
"_VertexLocalScaleALMin","Scale Min","Escala mínima","Maßstab min","最小スケール","스케일 최소","缩放最小"
"_VertexLocalScaleALMax","Scale Max","Escala máxima","Maßstab max","最大スケール","스케일 최대","缩放最大"
"_VertexWorldTranslationALBand","Band","Banda de traslación global","Weltübersetzungsband","世界翻訳バンド","월드 변환 밴드","世界位移频段"
"_VertexWorldTranslationALMin","World Translation Min","Traslación global mínima","Weltübersetzung Mind","ワールド翻訳分","월드 변환 최소","世界位移最小"
"_VertexWorldTranslationALMax","World Translation Max","Traslación global máxima","Weltübersetzung max","最大ワールドトランスレーション","월드 변환 최대","世界位移最大"
"_VertexManipulationHeightBand","Band","Banda de altura de vértices","Scheitelhöhenband","頂点高さバンド","버텍스 높이 밴드","顶点高度频段"
"_VertexManipulationHeightAL","Height","Altura de vértice","Scheitelhöhe","頂点の高さ","버텍스 높이","顶点高度"
"_VertexRoundingRangeBand","Band","Banda de redondeo","Rundungsband","丸めるバンド","라운딩 밴드","圆角频段"
"_VertexRoundingRangeAL","Range","Rango de redondeo","Rundungsbereich","丸め範囲","라운딩 범위","圆角范围"
"m_start_vertexGlitching","Glitching","Fallos de vértices (Vertex Glitching)","Vertex-Glitch","頂点グリッチ","버텍스 글리치","顶点故障 (Glitching)"
"_VertexGlitchingEnabled","Enabled","Activar fallo","Ermöglicht","有効","활성화됨","启用故障效果"
"_VertexGlitchingUseTexture","Use Texture","<size=13><b>Usar textura </b></size>","<size=13><b>Textur verwenden</b></size>","<size=13><b>テクスチャを使用</b></size>","<size=13><b>텍스처 사용</b></size>","<size=13><b>使用纹理</b></size>"
"_VertexGlitchMap","Glitch Map [Click to Expand]","Mapa de fallos (Expandir)","Glitch-Textur ]","グリッチマップ (展開)","글리치 맵 ]","故障贴图 (展开)"
"_VertexGlitchDensity","Glitch Density","Densidad de fallos","Glitch-Dichte","グリッチ密度","글리치 밀도","故障密度"
"_VertexGlitchMapPanSpeed","Glitch Map Pan Speed","Velocidad del barrido del mapa de fallos","Glitch Map Pan-Geschwindigkeit","グリッチ マップのパン速度","글리치 맵 팬 속도","故障图平移速度"
"_VertexGlitchFrequency","Glitch Interval","Frecuencia de fallo","Glitch-Intervall","グリッチ間隔","글리치 간격","故障频率"
"_VertexGlitchThreshold","Glitch Threshold","Umbral de fallo","Glitch-Schwellenwert","グリッチしきい値","글리치 임계값","故障阈值"
"_VertexGlitchStrength","Glitch Strength","Intensidad de fallo","Glitch-Stärke","グリッチの強さ","글리치 강도","故障强度"
"_VertexGlitchMirrorEnable","Mirror","<size=13><b>Espejo </b></size>","<size=13><b>Spiegel</b></size>","<size=13><b>鏡</b></size>","<size=13><b>거울</b></size>","<size=13><b>镜像</b></size>"
"_VertexGlitchMirror","Show in mirror","Mostrar en espejo","Im Spiegel zeigen","ミラーに映す","거울에 보이기","在镜像中显示"
"_VertexGlitchingAudioLinkEnabled","Audio Link","<size=13><b>AudioLink </b></size>","<size=13><b>Audiolink</b></size>","<size=13><b>オーディオリンク</b></size>","<size=13><b>오디오링크</b></size>","<size=13><b>AudioLink</b></size>"
"_VertexGlitchingAudioLinkBand","Glitch Band","Banda de fallo","Glitch-Band","グリッチバンド","글리치 밴드","故障频段"
"_VertexGlitchingAudiolinkOverride","Override Glitch Intensity with Audiolink","Anular la intensidad de fallos con Audiolink","Überschreiben Sie die Glitch-Intensität mit Audiolink","Audiolink でグリッチの強さを無視する","오디오링크로 글리치 강도 덮어쓰기","AudioLink 覆盖故障强度"
"m_start_MainVertexColors","Vertex Colors","Colores de vértices","Scheitelpunktfarben","頂点の色","버텍스 색상","主顶点颜色"
"_MainVertexColoringEnabled","Enable","Activar colores de vértices","Aktivieren","有効","활성화","启用顶点颜色"
"_MainVertexColoringLinearSpace","Linear Colors","Colores en espacio lineal","Lineare Farben","リニア色空間","선형 색상","线性空间颜色"
"_MainVertexColoring","Use Vertex Color","Usar color de vértices","Vertexfarbe verwenden","頂点カラーを使用","버텍스 색상 사용","使用顶点颜色"
"_MainUseVertexColorAlpha","Use Vertex Color Alpha","Usar alfa del color de vértices","Vertex Color Alpha verwenden","頂点カラー アルファを使用","버텍스 색상 알파 사용","使用顶点颜色 Alpha"
"m_start_backFace","Back Face","Cara trasera","Rückfläche","バックフェイス","뒷면","背面 (BackFace)"
"_BackFaceEnabled","Backface Enabled","Activar cara trasera","Rückseite aktiviert","背面有効","뒷면 활성화됨","启用背面"
"_BackFaceColor","Color","Color","Farbe","色","색상","颜色"
"_BackFaceEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","裏面の発光の強さ","뒷면 방출 강도","发光强度"
"_BackFaceTexture","Texture","Textura","Textur","テクスチャ","텍스처","纹理"
"_BackFaceTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_BackFaceTextureUV","UV#","UV","UV#","UV#","UV#","UV"
"_BackFaceMask","Mask","Máscara","Maske","マスク","마스크","遮罩"
"_BackFaceMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_BackFaceMaskUV","UV#","UV","UV#","UV#","UV#","UV"
"_BackFaceMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道"
"_BackFaceDetailIntensity","Detail Intensity","Intensidad del detalle","Detailintensität","ディテールの明るさ","디테일 강도","细节强度"
"_BackFaceReplaceAlpha","Replace Alpha","Reemplazar alfa","Alpha ersetzen","アルファを置換","알파 교체","替换 Alpha"
"_BackFaceEmissionLimiter","Global Emission Multiplier","Limitador de la emisión","Emissionsbegrenzer","発光の制限","방출 제한기","发光限制器"
"_BackFaceHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_BackFaceHueShift","Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_BackFaceHueShiftSpeed","Shift Speed","Velocidad del cambio","Farbtonverschiebungsgeschwindigkeit","ぼかしシフト速度","색조 시프트 속도","偏移速度"
"_RGBMaskEnabled","RGB Mask Enabled","Activar Máscara RGB","RGB-Maske aktiviert","RGB マスク有効","RGB 마스크 활성화됨","启用 RGB 遮罩"
"_RGBUseVertexColors","Use Vertex Colors","Usar colores de vértices","Verwenden Sie Scheitelpunktfarben","頂点カラーを使用","버텍스 색상 사용","使用顶点颜色"
"_RGBBlendMultiplicative","Multiplicative","Multiplicativo","Multiplikativ","乗算合成","곱하기","正片叠底 (Multiplicative)"
"_RGBMask","Masks [Click to Expand]","Máscara RGB","Maske","マスク","마스크","RGB 遮罩"
"_RGBMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_RGBMaskUV","UV","UV","UV","UV","UV","UV"
"m_start_RGBAColors","RGBA Colors","Colores RGBA","Farben","色","색상","RGBA 颜色"
"_RedColor","Color","Color del canal R","R-Farbe","R カラー","R 색상","R 通道颜色"
"_RedTexture","Texture","Textura del canal R","R-Textur","R テクスチャ","R 텍스처","R 通道纹理"
"_RedTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_RedTextureUV","UV","UV","UV","UV","UV","UV"
"_RedTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_RedAlphaAdd","Alpha Add","Suma alfa del canal R","R Alpha-Add","Rアルファ追加","R 알파 추가","R Alpha 添加"
"_GreenColor","Color","Color del canal G","G-Farbe","G カラー","G 색상","G 通道颜色"
"_GreenTexture","Texture","Textura del canal G","G-Textur","G テクスチャ","G 텍스처","G 通道纹理"
"_GreenTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_GreenTextureUV","UV","UV","UV","UV","UV","UV"
"_GreenTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_GreenAlphaAdd","Alpha Add","Suma alfa del canal G","G-Alpha-Add","G アルファ追加","G 알파 추가","G Alpha 添加"
"_BlueColor","Color","Color del canal B","B-Farbe","B カラー","B 색상","B 通道颜色"
"_BlueTexture","Texture","Textura del canal B","B-Textur","B テクスチャー","B 텍스처","B 通道纹理"
"_BlueTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_BlueTextureUV","UV","UV","UV","UV","UV","UV"
"_BlueTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_BlueAlphaAdd","Alpha Add","Suma alfa del canal B","B Alpha-Add","Bアルファ加算","B 알파 추가","B Alpha 添加"
"_AlphaColor","Color","Color del canal A","Eine Farbe","A カラー","A 색상","A 通道颜色"
"_AlphaTexture","Texture","Textura del canal A","Eine Textur","テクスチャ","A 텍스처","A 通道纹理"
"_AlphaTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_AlphaTextureUV","UV","UV","UV","UV","UV","UV"
"_AlphaTextureStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
